ProteinId,pair_Degree,pair_LocalClustCoeff,pair_TriangleCount,pair_ComponentSize,pair_EigenvectorCentrality,pair_BetweennessCentrality,pair_KatzCentrality,pair_AvgNeighborDegree
P47870,8,0.32142857142857145,9,13,1.3491480012337657e-215,0.0,0.009243607651979876,5.5
P47897,10,1.0,45,77,6.53751685810909e-05,0.0,0.00973130143399913,10.3
P47914,52,0.9939668174962293,1318,77,0.13801588932728134,3.6851415094339625e-08,0.0805291981992681,51.75
P47985,9,1.0,36,10,4.552434744662686e-182,0.0,0.009494356531681056,9.0
P48047,20,1.0,190,21,1.6333054557374227e-101,0.0,0.012282447099778507,20.0
P48059,3,0.6666666666666666,2,5,2.3736781914816677e-275,0.0,0.008450965888800495,3.3333333333333335
P48163,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P48167,3,0.0,0,4,8.4e-323,1.179245283018868e-06,0.008432943730100492,1.0
P48169,5,0.5,5,13,1.0380732887809121e-215,1.579346361185984e-07,0.00880911408094472,7.8
P48201,20,1.0,190,21,1.6333054557374227e-101,0.0,0.012282447099778507,20.0
P48382,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P48444,8,0.8928571428571429,25,9,6.616619451613909e-201,0.0,0.009283659856827657,7.25
P48454,6,0.9333333333333333,14,25,1.3522388992457665e-172,0.0,0.009086678591961083,14.166666666666666
P48506,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P48507,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P48544,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P48549,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P48551,17,0.11764705882352941,16,18,9.193718598836704e-218,8.84433962264151e-06,0.010522021301383896,2.8823529411764706
P48553,10,0.9777777777777777,44,15,6.9774535859411e-154,9.0711175616836e-08,0.009785763760684262,12.6
P48556,35,0.9966386554621849,593,685,2.099723787872996e-33,0.0,0.021166729146904862,37.05714285714286
P48643,7,1.0,21,8,2.6961278171948206e-206,0.0,0.009118033774501103,7.0
P48729,6,0.8,12,9,1.3551381751471147e-233,2.358490566037736e-07,0.008928670010568986,5.333333333333333
P48736,2,0.0,0,3,0.0,0.0,0.00829094718395542,1.0
P48740,6,0.06666666666666667,1,8,1.5607428600922182e-264,0.0,0.008880755853657085,2.3333333333333335
P48995,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P49005,5,0.6,6,9,1.8341778398340727e-255,1.179245283018868e-06,0.008756317856197727,4.0
P49069,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P49207,52,0.9939668174962293,1318,77,0.13801588932728134,3.6851415094339625e-08,0.0805291981992681,51.75
P49257,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P49336,3,1.0,3,6,7.572653271820089e-264,0.0,0.008458845386891484,4.333333333333333
P49354,2,0.0,0,3,0.0,0.0,0.00829094718395542,1.0
P49356,1,0.0,0,3,0.0,0.0,0.0081515064712603,2.0
P49368,7,1.0,21,8,2.6961278171948206e-206,0.0,0.009118033774501103,7.0
P49406,51,1.0,1275,52,0.004561205485623934,0.0,0.0712350571734474,51.0
P49450,3,1.0,3,13,1.0536687011237075e-219,0.0,0.00849987899079836,9.333333333333334
P49458,5,1.0,10,6,1.5705664834026287e-237,0.0,0.008770405864641605,5.0
P49642,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
P49643,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
P49715,8,0.6428571428571429,18,685,5.764683021756019e-38,5.359014675052419e-06,0.009441472689880428,13.75
