ComplexId,ProteinId,Stoichiometry,Evidence
CPX-1050,P0DP25,1,ECO:0005547
CPX-1050,P48454,1,ECO:0005547
CPX-1050,Q96LZ3,1,ECO:0005547
CPX-1055,P52294,1,ECO:0000353
CPX-1055,Q14974,1,ECO:0000353
CPX-1057,O00505,1,ECO:0000353
CPX-1057,Q14974,1,ECO:0000353
CPX-1060,O00629,1,ECO:0000353
CPX-1060,Q14974,1,ECO:0000353
CPX-1062,P05067,2,ECO:0005546
CPX-1063,O15131,1,ECO:0005546
CPX-1063,Q14974,1,ECO:0005546
CPX-1064,O60684,1,ECO:0000353
CPX-1064,Q14974,1,ECO:0000353
CPX-1066,A9QM74,1,ECO:0000353
CPX-1066,Q14974,1,ECO:0000353
CPX-107,O15169,1,ECO:0005547
CPX-107,P25054,0,ECO:0005547
CPX-107,P48729,0,ECO:0005547
CPX-107,P49840,1,ECO:0005547
CPX-1072,O75569,1,ECO:0000353
CPX-1072,Q9UPY3,1,ECO:0000353
CPX-1074,P26368,1,ECO:0000353
CPX-1074,Q15637,1,ECO:0000353
CPX-1076,O60506,0,ECO:0000353
CPX-1076,O75534,0,ECO:0000353
CPX-1076,P11940,0,ECO:0000353
CPX-1076,Q14103,0,ECO:0000353
CPX-1076,Q9H074,0,ECO:0000353
CPX-1080,O60506,0,ECO:0000353
CPX-1080,P67809,0,ECO:0000353
CPX-1080,Q00839,0,ECO:0000353
CPX-1080,Q08211,0,ECO:0000353
CPX-1080,Q9NZI8,0,ECO:0000353
CPX-109,O15169,1,ECO:0005547
CPX-109,P25054,0,ECO:0005547
CPX-109,P48729,0,ECO:0005547
CPX-109,P49841,1,ECO:0005547
CPX-1097,O60506,0,ECO:0005547
CPX-1097,P41238,2,ECO:0005547
CPX-1097,Q99729,0,ECO:0005547
CPX-1097,Q9NQ94,0,ECO:0005547
CPX-1099,O00159,0,ECO:0005547
CPX-1099,O60264,0,ECO:0005547
CPX-1099,O75533,0,ECO:0005547
CPX-1099,P35659,0,ECO:0005547
CPX-1099,Q03468,0,ECO:0005547
CPX-1099,Q9BQG0,0,ECO:0005547
CPX-1099,Q9NR30,0,ECO:0005547
CPX-1099,Q9UIG0,0,ECO:0005547
CPX-11,Q15796,3,ECO:0000353
CPX-111,O15392,2,ECO:0000353
CPX-1112,P0DP23,1,ECO:0005547
CPX-1112,P0DP24,1,ECO:0005547
CPX-1112,P0DP25,1,ECO:0005547
CPX-1112,P24588,1,ECO:0005547
CPX-1112,P48454,1,ECO:0005547
CPX-1112,P63098,1,ECO:0005547
CPX-1114,P0DP23,1,ECO:0005547
CPX-1114,P0DP24,1,ECO:0005547
CPX-1114,P0DP25,1,ECO:0005547
CPX-1114,P24588,1,ECO:0005547
CPX-1114,Q08209,1,ECO:0005547
CPX-1114,Q96LZ3,1,ECO:0005547
CPX-1116,P0DP23,1,ECO:0005547
CPX-1116,P0DP24,1,ECO:0005547
CPX-1116,P0DP25,1,ECO:0005547
CPX-1116,P16298,1,ECO:0005547
CPX-1116,P24588,1,ECO:0005547
CPX-1116,Q96LZ3,1,ECO:0005547
CPX-1118,P0DP23,1,ECO:0005547
CPX-1118,P0DP24,1,ECO:0005547
CPX-1118,P0DP25,1,ECO:0005547
CPX-1118,P24588,1,ECO:0005547
CPX-1118,P48454,1,ECO:0005547
CPX-1118,Q96LZ3,1,ECO:0005547
CPX-1120,P05067,0,ECO:0005546
CPX-1123,O43524,0,ECO:0000353
CPX-1123,P01106,0,ECO:0000353
CPX-114,P07359,2,ECO:0005547
CPX-114,P13224,2,ECO:0005547
CPX-114,P14770,2,ECO:0005547
CPX-114,P40197,1,ECO:0005547
CPX-1147,O43524,0,ECO:0000353
CPX-1147,P63104,0,ECO:0000353
CPX-1159,Q15468,0,ECO:0000353
CPX-1159,Q6UVJ0,0,ECO:0000353
CPX-1159,Q9HC77,0,ECO:0000353
CPX-116,O15392,1,ECO:0000353
CPX-116,Q53HL2,1,ECO:0000353
CPX-116,Q96GD4,1,ECO:0000353
CPX-116,Q9NQS7,1,ECO:0000353
CPX-1161,O00444,0,ECO:0000353
CPX-1161,Q8TEP8,0,ECO:0000353
CPX-1163,A8K0Z3,0,ECO:0005547
CPX-1163,Q12768,0,ECO:0005547
CPX-1163,Q2M389,0,ECO:0005547
CPX-1163,Q9Y3C0,0,ECO:0005547
CPX-1163,Q9Y4E1,0,ECO:0005547
CPX-1164,O14497,0,ECO:0005547
CPX-1164,O96019,0,ECO:0005547
CPX-1164,P51531,0,ECO:0005547
CPX-1164,P60709,0,ECO:0005547
CPX-1164,Q12824,0,ECO:0005547
CPX-1164,Q6STE5,0,ECO:0005547
CPX-1164,Q8TAQ2,0,ECO:0005547
CPX-1164,Q92922,0,ECO:0005547
CPX-1164,Q92925,0,ECO:0005547
CPX-1164,Q969G3,0,ECO:0005547
CPX-1164,Q96GM5,0,ECO:0005547
CPX-1168,Q12768,0,ECO:0005547
CPX-1168,Q2M389,0,ECO:0005547
CPX-1168,Q6VEQ5,0,ECO:0005547
CPX-1168,Q9Y3C0,0,ECO:0005547
CPX-1168,Q9Y4E1,0,ECO:0005547
CPX-1169,C4AMC7,0,ECO:0005547
CPX-1169,Q12768,0,ECO:0005547
CPX-1169,Q2M389,0,ECO:0005547
CPX-1169,Q9Y3C0,0,ECO:0005547
CPX-1169,Q9Y4E1,0,ECO:0005547
CPX-117,P07359,2,ECO:0005547
CPX-117,P13224,2,ECO:0005547
CPX-117,P14770,2,ECO:0005547
CPX-117,P21333,2,ECO:0005547
CPX-117,P40197,1,ECO:0005547
CPX-1170,A8MWX3,0,ECO:0005547
CPX-1170,Q12768,0,ECO:0005547
CPX-1170,Q2M389,0,ECO:0005547
CPX-1170,Q9Y3C0,0,ECO:0005547
CPX-1170,Q9Y4E1,0,ECO:0005547
CPX-1171,Q12768,0,ECO:0005547
CPX-1171,Q2M389,0,ECO:0005547
CPX-1171,Q9NQA3,0,ECO:0005547
CPX-1171,Q9Y3C0,0,ECO:0005547
CPX-1171,Q9Y4E1,0,ECO:0005547
CPX-1172,A8K0Z3,0,ECO:0005547
CPX-1172,Q12768,0,ECO:0005547
CPX-1172,Q2M389,0,ECO:0005547
CPX-1172,Q641Q2,0,ECO:0005547
CPX-1172,Q9Y3C0,0,ECO:0005547
CPX-1173,Q12768,0,ECO:0005547
CPX-1173,Q2M389,0,ECO:0005547
CPX-1173,Q641Q2,0,ECO:0005547
CPX-1173,Q6VEQ5,0,ECO:0005547
CPX-1173,Q9Y3C0,0,ECO:0005547
CPX-1174,C4AMC7,0,ECO:0005547
CPX-1174,Q12768,0,ECO:0005547
CPX-1174,Q2M389,0,ECO:0005547
CPX-1174,Q641Q2,0,ECO:0005547
CPX-1174,Q9Y3C0,0,ECO:0005547
CPX-1175,A8MWX3,0,ECO:0005547
CPX-1175,Q12768,0,ECO:0005547
CPX-1175,Q2M389,0,ECO:0005547
CPX-1175,Q641Q2,0,ECO:0005547
CPX-1175,Q9Y3C0,0,ECO:0005547
CPX-1176,Q12768,0,ECO:0005547
CPX-1176,Q2M389,0,ECO:0005547
CPX-1176,Q641Q2,0,ECO:0005547
CPX-1176,Q9NQA3,0,ECO:0005547
CPX-1176,Q9Y3C0,0,ECO:0005547
CPX-1194,O14497,0,ECO:0005547
CPX-1194,O96019,0,ECO:0005547
CPX-1194,P51531,0,ECO:0005547
CPX-1194,P60709,0,ECO:0005547
CPX-1194,Q12824,0,ECO:0005547
CPX-1194,Q6STE5,0,ECO:0005547
CPX-1194,Q8TAQ2,0,ECO:0005547
CPX-1194,Q92784,0,ECO:0005547
CPX-1194,Q92922,0,ECO:0005547
CPX-1194,Q92925,0,ECO:0005547
CPX-1194,Q969G3,0,ECO:0005547
CPX-1194,Q96GM5,0,ECO:0005547
CPX-1195,O14497,0,ECO:0005547
CPX-1195,O96019,0,ECO:0005547
CPX-1195,P51532,0,ECO:0005547
CPX-1195,P60709,0,ECO:0005547
CPX-1195,Q12824,0,ECO:0005547
CPX-1195,Q4VC05,0,ECO:0005547
CPX-1195,Q8WUB8,0,ECO:0005547
CPX-1195,Q8WUZ0,0,ECO:0005547
CPX-1195,Q92785,0,ECO:0005547
CPX-1195,Q92922,0,ECO:0005547
CPX-1195,Q969G3,0,ECO:0005547
CPX-1195,Q96GM5,0,ECO:0005547
CPX-1195,Q9BQE9,0,ECO:0005547
CPX-1196,O94805,0,ECO:0005547
CPX-1196,P51532,0,ECO:0005547
CPX-1196,P60709,0,ECO:0005547
CPX-1196,Q12824,0,ECO:0005547
CPX-1196,Q68CP9,0,ECO:0005547
CPX-1196,Q86U86,0,ECO:0005547
CPX-1196,Q8TAQ2,0,ECO:0005547
