model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
RBF-SVM,Kernel,hypergraph,45,0.2588108102721641,2731,657,8,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,45,0.25635534620551326,2731,657,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,46,0.0874238755044547,2732,656,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,46,0.1658970434195826,2732,656,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,46,0.1583443439689521,2732,656,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,47,0.12618153966859733,2789,599,4,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hypergraph,47,0.2395870357770644,2789,599,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,47,0.29834199132102807,2789,599,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,48,0.11595225022209146,2775,613,4,42,"{'clf__C': 1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,48,0.324563943158307,2775,613,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,48,0.3297460879117862,2775,613,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,49,0.2135476437705094,2759,629,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,49,0.2821106386111462,2759,629,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,49,0.22286607456898302,2759,629,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,50,0.11865947639363345,2802,586,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,50,0.11812430528545595,2802,586,8,42,"{'clf__C': 100, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,50,0.2274600139110744,2802,586,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
TabPFN,Amortised,pairwise,1,0.2693176271287191,2750,638,4,42,{}
TabPFN,Amortised,hypergraph,1,0.25363756191336945,2750,638,8,42,{}
TabPFN,Amortised,hb_graph,1,0.2940727798954635,2750,638,14,42,{}
TabPFN,Amortised,pairwise,2,0.1692444111879486,2753,635,4,42,{}
TabPFN,Amortised,hypergraph,2,0.3504984708292894,2753,635,8,42,{}
TabPFN,Amortised,hb_graph,2,0.3933896931381721,2753,635,14,42,{}
TabPFN,Amortised,pairwise,3,0.21124756812711706,2665,723,4,42,{}
TabPFN,Amortised,hypergraph,3,0.2252934763280587,2665,723,8,42,{}
TabPFN,Amortised,hb_graph,3,0.271278508255828,2665,723,14,42,{}
TabPFN,Amortised,pairwise,4,0.16308713831936894,2657,731,4,42,{}
TabPFN,Amortised,hypergraph,4,0.25916373635620793,2657,731,8,42,{}
TabPFN,Amortised,hb_graph,4,0.28149336276900744,2657,731,14,42,{}
TabPFN,Amortised,pairwise,5,0.18090024260277057,2687,701,4,42,{}
TabPFN,Amortised,hypergraph,5,0.3167071098054768,2687,701,8,42,{}
TabPFN,Amortised,hb_graph,5,0.3760809566752151,2687,701,14,42,{}
TabPFN,Amortised,pairwise,6,0.23701227623112017,2749,639,4,42,{}
TabPFN,Amortised,hypergraph,6,0.32352766315762543,2749,639,8,42,{}
TabPFN,Amortised,hb_graph,6,0.3798710879220939,2749,639,14,42,{}
TabPFN,Amortised,pairwise,7,0.22756223236477316,2722,666,4,42,{}
TabPFN,Amortised,hypergraph,7,0.33526080281024273,2722,666,8,42,{}
TabPFN,Amortised,hb_graph,7,0.3068019022268919,2722,666,14,42,{}
TabPFN,Amortised,pairwise,8,0.1639240819292476,2694,694,4,42,{}
TabPFN,Amortised,hypergraph,8,0.22550660160554664,2694,694,8,42,{}
TabPFN,Amortised,hb_graph,8,0.233874480069823,2694,694,14,42,{}
TabPFN,Amortised,pairwise,9,0.21390753749777547,2784,604,4,42,{}
TabPFN,Amortised,hypergraph,9,0.39593094011057717,2784,604,8,42,{}
TabPFN,Amortised,hb_graph,9,0.5121947198795561,2784,604,14,42,{}
TabPFN,Amortised,pairwise,10,0.19736688496842908,2785,603,4,42,{}
TabPFN,Amortised,hypergraph,10,0.3332416537225189,2785,603,8,42,{}
TabPFN,Amortised,hb_graph,10,0.42699527268319226,2785,603,14,42,{}
TabPFN,Amortised,pairwise,11,0.10764735555395104,2769,619,4,42,{}
TabPFN,Amortised,hypergraph,11,0.3179417402448633,2769,619,8,42,{}
TabPFN,Amortised,hb_graph,11,0.40066818828339745,2769,619,14,42,{}
TabPFN,Amortised,pairwise,12,0.17205816876161256,2740,648,4,42,{}
TabPFN,Amortised,hypergraph,12,0.34327994496715675,2740,648,8,42,{}
