split_index,feature,verdict,boruta_rank,feature_set
14,stoich_RangeRatio,rejected,2,hypergraph
14,protein_MedianUniqueRatio,confirmed,1,hypergraph
14,protein_RangeUniqueRatio,confirmed,1,hypergraph
14,protein_MedComplexNodes,confirmed,1,hypergraph
14,protein_RangeComplexNodes,rejected,3,hypergraph
15,base_Degree,confirmed,1,hypergraph
15,base_LocalClustCoeff,rejected,4,hypergraph
15,base_TriangleCount,confirmed,1,hypergraph
15,base_UniquePartners,confirmed,1,hypergraph
15,base_AvgNeighbourDegree,confirmed,1,hypergraph
15,stoich_WeightedTriangles,confirmed,1,hypergraph
15,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
15,stoich_RangeComplexSize,rejected,2,hypergraph
15,stoich_MedComplexSize,confirmed,1,hypergraph
15,stoich_MedianRatio,confirmed,1,hypergraph
15,stoich_RangeRatio,confirmed,1,hypergraph
15,protein_MedianUniqueRatio,confirmed,1,hypergraph
15,protein_RangeUniqueRatio,confirmed,1,hypergraph
15,protein_MedComplexNodes,confirmed,1,hypergraph
15,protein_RangeComplexNodes,rejected,3,hypergraph
