model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,hypergraph,43,0.17250351330516478,2710,678,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,43,0.19154177412219797,2710,678,14,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,pairwise,44,0.09444174611220627,2711,677,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,44,0.18291109018740306,2711,677,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,44,0.24716296772727553,2711,677,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,45,0.11993888101420729,2712,676,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,45,0.24773394807129556,2712,676,8,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,hb_graph,45,0.3360260788868201,2712,676,14,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,pairwise,46,0.10584165797316125,2711,677,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,46,0.15568337527274517,2711,677,8,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,hb_graph,46,0.27539605443294685,2711,677,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,47,0.12646270119202016,2713,675,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,47,0.21556911204415194,2713,675,8,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,hb_graph,47,0.19977899872636692,2713,675,14,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,pairwise,48,0.0898600189918695,2712,676,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,48,0.19652412942448827,2712,676,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,48,0.28350606018023305,2712,676,14,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,pairwise,49,0.14768724770072927,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,49,0.3010208420688986,2710,678,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,49,0.3907637336787454,2710,678,14,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,pairwise,50,0.10238406291049111,2712,676,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,50,0.23248972194399467,2712,676,8,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,hb_graph,50,0.24835926490824367,2712,676,14,42,{'clf__C': np.float64(0.9846738873614566)}
RBF-SVM,Kernel,pairwise,1,0.1163898467842536,2710,678,4,42,"{'clf__C': 1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,1,0.13924238865841151,2710,678,8,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hb_graph,1,0.2591638509751148,2710,678,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,2,0.11769169375773937,2712,676,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,2,0.21436431576969778,2712,676,8,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,2,0.2035069880341117,2712,676,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,3,0.15702824134326052,2712,676,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,3,0.1917797006741871,2712,676,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,3,0.19667124976582168,2712,676,14,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,4,0.13970361177704782,2713,675,4,42,"{'clf__C': 10, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,4,0.21685738808632307,2713,675,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,4,0.20091304091778459,2713,675,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,5,0.12912032577207372,2711,677,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,5,0.11830251335749654,2711,677,8,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hb_graph,5,0.14006233691493947,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,6,0.10977628719078339,2710,678,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,6,0.16318518669722193,2710,678,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,6,0.15675108649055933,2710,678,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,7,0.15222610728486524,2711,677,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,7,0.1899521894318508,2711,677,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,7,0.1884165650384002,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,8,0.10431202101786922,2711,677,4,42,"{'clf__C': 1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,8,0.24755743447163941,2711,677,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,8,0.18624099173312775,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,9,0.13212425168248582,2711,677,4,42,"{'clf__C': 1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,9,0.2171816117307478,2711,677,8,42,"{'clf__C': 1000, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,9,0.2236236401749576,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,10,0.1302049810879616,2712,676,4,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hypergraph,10,0.24197602611025085,2712,676,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,10,0.1909590785809043,2712,676,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,11,0.15064901091971133,2710,678,4,42,"{'clf__C': 1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,11,0.23063328584527434,2710,678,8,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,11,0.21861767718248348,2710,678,14,42,"{'clf__C': 0.1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,pairwise,12,0.16070644778173568,2711,677,4,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,12,0.27098722984508883,2711,677,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,12,0.21450630820423047,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,13,0.11690920464027783,2712,676,4,42,"{'clf__C': 10, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,13,0.23061049204018896,2712,676,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,13,0.20545691739529828,2712,676,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,14,0.1255389480963632,2712,676,4,42,"{'clf__C': 100, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,14,0.15079736831931984,2712,676,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,14,0.16983313645860337,2712,676,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,15,0.1153170020080443,2711,677,4,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,15,0.24716261698514813,2711,677,8,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hb_graph,15,0.255882737674377,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,16,0.18900476460683416,2710,678,4,42,"{'clf__C': 1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,16,0.2241901987884854,2710,678,8,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,16,0.2475878930399985,2710,678,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,17,0.16066404843405047,2711,677,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,17,0.22704305358370006,2711,677,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,17,0.2339356357321693,2711,677,14,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,18,0.14649349848961032,2710,678,4,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,18,0.26710877975300046,2710,678,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,18,0.2759941886128103,2710,678,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,19,0.1748533643834784,2711,677,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,19,0.24096814371207842,2711,677,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,19,0.19647341955048767,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,20,0.18510876159024076,2711,677,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,20,0.1508188174774448,2711,677,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,20,0.12731420892575168,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,21,0.2074090936181601,2714,674,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,21,0.2107234019124995,2714,674,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,21,0.18953969637001394,2714,674,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,22,0.12973949774786314,2711,677,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,22,0.24122732709184247,2711,677,8,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,22,0.2487697029439182,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,23,0.13866765871521256,2711,677,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,23,0.1819693230822475,2711,677,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,23,0.18901968065115493,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,24,0.16142203307278635,2711,677,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,24,0.2787042881611983,2711,677,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,24,0.30472265760170875,2711,677,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
