model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,hypergraph,36,0.168076148,2735,653,8,42,{'clf__C': np.float64(0.033205591037519584)}
LogisticRegression,Linear,hb_graph,36,0.207320748,2735,653,14,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,pairwise,37,0.165875089,2782,606,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,37,0.294692775,2782,606,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,37,0.433108462,2782,606,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,38,0.070801034,2713,675,4,42,{'clf__C': np.float64(0.033205591037519584)}
LogisticRegression,Linear,hypergraph,38,0.159886403,2713,675,8,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,hb_graph,38,0.179665755,2713,675,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,39,0.11985114,2709,679,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,39,0.240164726,2709,679,8,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,hb_graph,39,0.259893422,2709,679,14,42,{'clf__C': np.float64(0.033205591037519584)}
LogisticRegression,Linear,pairwise,40,0.106340939,2756,632,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,40,0.172722813,2756,632,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,40,0.218053932,2756,632,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,41,0.115241775,2733,655,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,41,0.173615946,2733,655,8,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,hb_graph,41,0.23082295,2733,655,14,42,{'clf__C': np.float64(0.008260808399079604)}
LogisticRegression,Linear,pairwise,42,0.158954305,2737,651,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,42,0.200098194,2737,651,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,42,0.310519186,2737,651,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,43,0.145556076,2708,680,4,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,hypergraph,43,0.209455709,2708,680,8,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,hb_graph,43,0.238539369,2708,680,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,44,0.123438979,2773,615,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,44,0.179168493,2773,615,8,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hb_graph,44,0.231204612,2773,615,14,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,pairwise,45,0.163675238,2731,657,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,45,0.267590077,2731,657,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,45,0.330649202,2731,657,14,42,{'clf__C': np.float64(1.0129197956845732)}
LogisticRegression,Linear,pairwise,46,0.098429091,2732,656,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,46,0.175864654,2732,656,8,42,{'clf__C': np.float64(0.033205591037519584)}
LogisticRegression,Linear,hb_graph,46,0.167498877,2732,656,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,47,0.171485032,2789,599,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,47,0.350560522,2789,599,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,47,0.41982581,2789,599,14,42,{'clf__C': np.float64(0.033205591037519584)}
LogisticRegression,Linear,pairwise,48,0.100419149,2775,613,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,48,0.197463577,2775,613,8,42,{'clf__C': np.float64(0.011526449540315618)}
LogisticRegression,Linear,hb_graph,48,0.246567818,2775,613,14,42,{'clf__C': np.float64(0.0745934328572655)}
