gene,essential_category,database,Protein
ZAR1L,Non-essential,D,A6NP61
NCBP2L,Non-essential,D,A6PVI3
KNCN,Non-essential,D,A6PVL3
LRRIQ3,Non-essential,D,A6PVS8
FAM177B,Non-essential,D,A6PVY3
ABTB3,Non-essential,D,A6QL63
ANKRD36,Non-essential,D,A6QL64
YJEFN3,Non-essential,D,A6XGL0
RTL8C,Non-essential,D,A6ZKI3
ANKRD30BL,Non-essential,D,A7E2S9
CFAP96,Non-essential,D,A7E2U8
ZSWIM8,Non-essential,D,A7E2V4
ARHGAP32,Non-essential,D,A7KAX9
DISP2,Non-essential,D,A7MBM2
TBKBP1,Non-essential,D,A7MCY6
SRRM4,Non-essential,D,A7MD48
SOBP,Non-essential,D,A7XYQ1
ZNF839,Cancer,O,A8K0R7
A2ML1,Non-essential,D,A8K2U0
CD300LB,Non-essential,D,A8K4G0
C15orf62,Non-essential,D,A8K5M9
CLCA1,Non-essential,D,A8K7I4
POU2AF3,Non-essential,D,A8K830
EFCAB7,Non-essential,D,A8K855
SFI1,Non-essential,D,A8K8P3
ZNF785,Cancer,O,A8K8V0
ERI2,Cancer,O,A8K979
YDJC,Non-essential,D,A8MPS7
PP2D1,Non-essential,D,A8MPX8
GABRR3,Non-essential,D,A8MPY1
CYSRT1,Non-essential,D,A8MQ03
ZNF850,Non-essential,D,A8MQ14
NEURL1B,Non-essential,D,A8MQ27
LYRM9,Non-essential,D,A8MSI8
SYCE1L,Non-essential,D,A8MT33
ZNF891,Non-essential,D,A8MT65
CENPX,Non-essential,D,A8MT69
ZBBX,Cancer,O,A8MT70
CIMIP2B,Non-essential,D,A8MTA8
GNAT3,Non-essential,D,A8MTJ3
FOXI3,Non-essential,D,A8MTJ6
IQCF5,Non-essential,D,A8MTL0
RNF212B,Non-essential,D,A8MTL3
HMSD,Non-essential,D,A8MTL9
NOTO,Non-essential,D,A8MTQ0
CEBPZOS,Non-essential,D,A8MTT3
ZNF724,Non-essential,D,A8MTY0
BBIP1,Non-essential,D,A8MTZ0
C12orf71,Non-essential,D,A8MTZ7
SMTNL1,Non-essential,D,A8MU46
C17orf100,Non-essential,D,A8MU93
USP17L5,Core,O,A8MUK1
LGALS16,Non-essential,D,A8MUM7
CSKMT,Non-essential,D,A8MUP2
GSG1L2,Non-essential,D,A8MUP6
ZNF727,Non-essential,D,A8MUV8
KRTAP16-1,Non-essential,D,A8MUX0
ZNF705G,Non-essential,D,A8MUZ8
SERPINE3,Non-essential,D,A8MV23
SPMAP1,Non-essential,D,A8MV24
VGLL3,Non-essential,D,A8MV65
HIGD1C,Non-essential,D,A8MV81
KRTAP9-6,Non-essential,D,A8MVA2
C19orf38,Non-essential,D,A8MVS5
FAM171A2,Cancer,O,A8MVW0
HEPACAM2,Non-essential,D,A8MVW5
ARHGEF33,Non-essential,D,A8MVX0
PHF20L1,Non-essential,D,A8MW92
BECN2,Non-essential,D,A8MW95
MEI4,Non-essential,D,A8MW99
SMIM34,Non-essential,D,A8MWV9
ELAPOR2,Non-essential,D,A8MWY0
KRTAP29-1,Non-essential,D,A8MX34
CAPN14,Non-essential,D,A8MX76
GRXCR1,Non-essential,D,A8MXD5
VSTM5,Non-essential,D,A8MXK1
IQANK1,Non-essential,D,A8MXQ7
MAGEB17,Non-essential,D,A8MXT2
NUDT19,Non-essential,D,A8MXV4
CDRT15L2,Non-essential,D,A8MXV6
ZNF99,Non-essential,D,A8MXY4
KRTAP9-1,Non-essential,D,A8MXZ3
TTC34,Non-essential,D,A8MYJ7
CIMAP1B,Non-essential,D,A8MYP8
KCNU1,Non-essential,D,A8MYU2
DCDC2C,Non-essential,D,A8MYV0
MINDY4B,Non-essential,D,A8MYZ0
IQCF6,Non-essential,D,A8MYZ5
EFCAB9,Non-essential,D,A8MZ26
EVPLL,Non-essential,D,A8MZ36
LEUTX,Non-essential,D,A8MZ59
C2orf74,Non-essential,D,A8MZ97
GOLGA6L6,Non-essential,D,A8MZA4
C16orf90,Non-essential,D,A8MZG2
COL6A5,Non-essential,D,A8TX70
KPNA7,Non-essential,D,A9QM74
MIF4GD,Non-essential,D,A9UHW6
AHRR,Non-essential,D,A9YTQ3
MYO1G,Non-essential,D,B0I1T2
HACD1,Non-essential,D,B0YJ81
FHAD1,Non-essential,D,B1AJZ9
ESPN,Non-essential,D,B1AK53
ISM1,Non-essential,D,B1AKI9
NALF1,Non-essential,D,B1AL88
WDR64,Non-essential,D,B1ANS9
ZNF487,Non-essential,D,B1APH4
PRR32,Non-essential,D,B1ATL7
KLLN,Non-essential,D,B2CW77
C1QTNF9B,Non-essential,D,B2RNN3
MYO9A,Non-essential,D,B2RTY4
POTEC,Non-essential,D,B2RU33
VWC2L,Non-essential,D,B2RUY7
SMIM1,Non-essential,D,B2RUZ4
CFAP97D1,Non-essential,D,B2RV13
TMEM229A,Non-essential,D,B2RXF0
ZBTB42,Non-essential,D,B2RXF5
KDM4E,Non-essential,D,B2RXH2
BTBD18,Non-essential,D,B2RXH4
FAM25A,Non-essential,D,B3EWG3
PATE3,Non-essential,D,B3GLJ2
SRRM5,Cancer,O,B3KS81
TMEM114,Non-essential,D,B3SHH9
TMEM233,Non-essential,D,B4DJY2
SHISA9,Cancer,O,B4DS77
ZNF879,Non-essential,D,B4DU55
ZNF736,Non-essential,D,B4DX44
ZNF732,Cancer,O,B4DXR9
SPATA31C2,Non-essential,D,B4DYI2
ANKRD66,Cancer,O,B4E2M5
SEC14L6,Non-essential,D,B5MCN3
TDRD15,Non-essential,D,B5MCY1
EIF3CL,Core,O,B5ME19
TARM1,Non-essential,D,B6A8C7
C2CD4D,Non-essential,D,B7Z1M9
ZNF814,Non-essential,D,B7Z6K7
RABGAP1L,Non-essential,D,B7ZAP0
PPP1R3G,Non-essential,D,B7ZBB8
SHISA8,Non-essential,D,B8ZZ34
C21orf140,Non-essential,D,B9A014
IGLL5,Non-essential,D,B9A064
TMEM150C,Non-essential,D,B9EJG8
AJM1,Non-essential,D,C9J069
TRIM49D1,Non-essential,D,C9J1S8
C4orf51,Non-essential,D,C9J302
C5orf58,Non-essential,D,C9J3I9
TEX22,Non-essential,D,C9J3V5
C19orf81,Non-essential,D,C9J6K1
RASA4B,Non-essential,D,C9J798
UMAD1,Non-essential,D,C9J7I0
HSBP1L1,Non-essential,D,C9JCN9
CLDN25,Non-essential,D,C9JDP6
PATL2,Non-essential,D,C9JE40
PHGR1,Non-essential,D,C9JFL3
PRRT4,Non-essential,D,C9JH25
