gene,essential_category,database,Protein
ACAP3,Non-essential,D,Q96P50
WDFY2,Non-essential,D,Q96P53
CATSPER2,Non-essential,D,Q96P56
SERPINB12,Non-essential,D,Q96P63
QRFPR,Non-essential,D,Q96P65
GPR101,Non-essential,D,Q96P66
GPR82,Non-essential,D,Q96P67
OXGR1,Non-essential,D,Q96P68
GPR78,Non-essential,D,Q96P69
IPO9,Core,D,Q96P70
NECAB3,Non-essential,D,Q96P71
CASD1,Non-essential,D,Q96PB1
OLFM3,Non-essential,D,Q96PB7
LRRC3B,Non-essential,D,Q96PB8
IP6K3,Cancer,O,Q96PC2
AP1S3,Non-essential,D,Q96PC3
MIA2,Non-essential,D,Q96PC5
DCBLD2,Non-essential,D,Q96PD2
IL17F,Non-essential,D,Q96PD4
PGLYRP2,Cancer,O,Q96PD5
MOGAT1,Non-essential,D,Q96PD6
DGAT2,Non-essential,D,Q96PD7
ADGRA2,Non-essential,D,Q96PE1
ARHGEF17,Non-essential,D,Q96PE2
INPP4A,Non-essential,D,Q96PE3
OPALIN,Non-essential,D,Q96PE5
ZIM3,Non-essential,D,Q96PE6
MCEE,Non-essential,D,Q96PE7
TGM7,Non-essential,D,Q96PF1
TSSK2,Non-essential,D,Q96PF2
MS4A4E,Non-essential,D,Q96PG1
MS4A10,Non-essential,D,Q96PG2
BBC3,Non-essential,D,Q96PG8
NOX5,Non-essential,D,Q96PH1
DEFB118,Cancer,O,Q96PH6
SPRR4,Non-essential,D,Q96PI1
FCRL4,Non-essential,D,Q96PJ5
RBM14,Core,D,Q96PK6
SCGB3A2,Cancer,O,Q96PL1
TECTB,Non-essential,D,Q96PL2
ERMAP,Non-essential,D,Q96PL5
RCHY1,Non-essential,D,Q96PM5
ZNF385A,Non-essential,D,Q96PM9
ADCY10,Non-essential,D,Q96PN6
TRERF1,Non-essential,D,Q96PN7
TSSK3,Non-essential,D,Q96PN8
TSGA13,Non-essential,D,Q96PP4
GBP5,Non-essential,D,Q96PP8
GBP4,Non-essential,D,Q96PP9
SORCS2,Cancer,O,Q96PQ0
SIGLEC12,Non-essential,D,Q96PQ1
ZNF317,Non-essential,D,Q96PQ6
KLHL5,Non-essential,D,Q96PQ7
KCNC2,Non-essential,D,Q96PR1
FANCD2OS,Non-essential,D,Q96PS1
AQP10,Non-essential,D,Q96PS8
UHRF2,Non-essential,D,Q96PU4
NEDD4L,Cancer,O,Q96PU5
QKI,Cancer,O,Q96PU8
CIMAP1A,Non-essential,D,Q96PU9
SYNGAP1,Non-essential,D,Q96PV0
PNMA5,Non-essential,D,Q96PV4
LENG8,Non-essential,D,Q96PV6
FAM193B,Non-essential,D,Q96PV7
RNF157,Cancer,O,Q96PX1
CCDC85A,Non-essential,D,Q96PX6
SLITRK1,Non-essential,D,Q96PX8
PLEKHG4B,Cancer,O,Q96PX9
FMNL2,Cancer,O,Q96PY5
NEK1,Non-essential,D,Q96PY6
PUS7,Cancer,O,Q96PZ0
FAM111A,Non-essential,D,Q96PZ2
CSMD1,Non-essential,D,Q96PZ7
LMTK3,Non-essential,D,Q96Q04
TRAPPC9,Non-essential,D,Q96Q05
PLIN4,Non-essential,D,Q96Q06
BTBD9,Cancer,O,Q96Q07
TRNT1,Core,B,Q96Q11
SMG1,Non-essential,D,Q96Q15
ASB2,Non-essential,D,Q96Q27
FLACC1,Non-essential,D,Q96Q35
CDK15,Non-essential,D,Q96Q40
ALS2,Non-essential,D,Q96Q42
TMEM237,Cancer,O,Q96Q45
CIB3,Non-essential,D,Q96Q77
DERL3,Non-essential,D,Q96Q80
ALKBH3,Non-essential,D,Q96Q83
KIF20B,Non-essential,D,Q96Q89
SLC4A9,Non-essential,D,Q96Q91
GSDMA,Non-essential,D,Q96QA5
YPEL2,Non-essential,D,Q96QA6
DLC1,Non-essential,D,Q96QB1
PPP1R10,Core,D,Q96QC0
DEPDC7,Cancer,O,Q96QD5
SLC38A2,Non-essential,D,Q96QD8
FYTTD1,Non-essential,D,Q96QD9
SLC2A13,Non-essential,D,Q96QE2
ATAD5,Non-essential,D,Q96QE3
LRRC37B,Non-essential,D,Q96QE4
TEFM,Non-essential,D,Q96QE5
RAB3IP,Non-essential,D,Q96QF0
GCNA,Non-essential,D,Q96QF7
MTMR9,Non-essential,D,Q96QG7
PRAM1,Non-essential,D,Q96QH2
HS3ST6,Non-essential,D,Q96QI5
VPS35,Non-essential,D,Q96QK1
SMIM14,Non-essential,D,Q96QK8
ALPK1,Non-essential,D,Q96QP1
SCGB3A1,Non-essential,D,Q96QR1
PURB,Non-essential,D,Q96QR8
TSPAN32,Non-essential,D,Q96QS1
ARX,Cancer,O,Q96QS3
PSKH2,Non-essential,D,Q96QS6
TRPM7,Non-essential,D,Q96QT4
PHF12,Non-essential,D,Q96QT6
PCDH15,Non-essential,D,Q96QU1
FRG2B,Non-essential,D,Q96QU4
ACCS,Non-essential,D,Q96QU6
XPO6,Non-essential,D,Q96QU8
HHIP,Non-essential,D,Q96QV1
H2AC1,Non-essential,D,Q96QV6
PANX3,Cancer,O,Q96QZ0
MAGI1,Non-essential,D,Q96QZ7
RBP7,Non-essential,D,Q96R05
SPAG5,Non-essential,D,Q96R06
OR5B12,Non-essential,D,Q96R08
OR5B2,Non-essential,D,Q96R09
OR2M4,Non-essential,D,Q96R27
OR2M2,Non-essential,D,Q96R28
OR2V2,Non-essential,D,Q96R30
OR2A14,Non-essential,D,Q96R47
OR2A5,Non-essential,D,Q96R48
OR14A2,Non-essential,D,Q96R54
OR4C12,Non-essential,D,Q96R67
OR7D2,Non-essential,D,Q96RA2
OR5M11,Non-essential,D,Q96RB7
OR8B4,Non-essential,D,Q96RC9
OR8B2,Non-essential,D,Q96RD0
OR6C1,Non-essential,D,Q96RD1
OR52B2,Non-essential,D,Q96RD2
OR52E6,Non-essential,D,Q96RD3
PANX2,Non-essential,D,Q96RD6
PANX1,Non-essential,D,Q96RD7
FCRL5,Non-essential,D,Q96RD9
NACC1,Non-essential,D,Q96RE7
ZNF300,Cancer,O,Q96RE9
SNX18,Non-essential,D,Q96RF0
PASK,Non-essential,D,Q96RG2
F2RL3,Non-essential,D,Q96RI0
NR1H4,Non-essential,D,Q96RI1
TAAR6,Non-essential,D,Q96RI8
TAAR9,Non-essential,D,Q96RI9
TAAR1,Non-essential,D,Q96RJ0
TNFRSF13C,Non-essential,D,Q96RJ3
FERD3L,Non-essential,D,Q96RJ6
CIC,Non-essential,D,Q96RK0
CITED4,Non-essential,D,Q96RK1
BBS4,Cancer,O,Q96RK4
UIMC1,Non-essential,D,Q96RL1
SIGLEC11,Non-essential,D,Q96RL6
VPS13A,Cancer,O,Q96RL7
SPRR2F,Non-essential,D,Q96RM1
SLC26A8,Non-essential,D,Q96RN1
MED15,Non-essential,D,Q96RN5
UCN2,Non-essential,D,Q96RP3
GAL3ST4,Non-essential,D,Q96RP7
KCNA7,Cancer,O,Q96RP8
GFM1,Non-essential,D,Q96RP9
ERGIC2,Non-essential,D,Q96RQ1
MCCC1,Non-essential,D,Q96RQ3
IL4I1,Non-essential,D,Q96RQ9
TWNK,Non-essential,D,Q96RR1
CAMKK2,Non-essential,D,Q96RR4
TGS1,Non-essential,D,Q96RS0
NUDCD1,Non-essential,D,Q96RS6
ERBIN,Non-essential,D,Q96RT1
CTAGE1,Non-essential,D,Q96RT6
TUBGCP6,Core,D,Q96RT7
TUBGCP5,Core,D,Q96RT8
USP28,Non-essential,D,Q96RU2
FNBP1,Non-essential,D,Q96RU3
TRIB3,Non-essential,D,Q96RU7
TRIB1,Non-essential,D,Q96RU8
PCNX1,Non-essential,D,Q96RV3
HMCN1,Non-essential,D,Q96RW7
CRAMP1,Non-essential,D,Q96RY5
IFT140,Non-essential,D,Q96RY7
LMF1,Non-essential,D,Q96S06
WDR24,Non-essential,D,Q96S15
JMJD8,Non-essential,D,Q96S16
METTL26,Non-essential,D,Q96S19
RAB40C,Non-essential,D,Q96S21
SLC22A12,Non-essential,D,Q96S37
RPS6KC1,Non-essential,D,Q96S38
NODAL,Non-essential,D,Q96S42
TP53RK,Core,D,Q96S44
PIGS,Cancer,O,Q96S52
TESK2,Non-essential,D,Q96S53
WRNIP1,Non-essential,D,Q96S55
RANBP9,Non-essential,D,Q96S59
CSRNP1,Non-essential,D,Q96S65
CLCC1,Cancer,O,Q96S66
RASL10B,Non-essential,D,Q96S79
UBL7,Non-essential,D,Q96S82
HAPLN3,Non-essential,D,Q96S86
LYSMD1,Non-essential,D,Q96S90
CCNL2,Non-essential,D,Q96S94
CAMK2N2,Non-essential,D,Q96S95
PEBP4,Non-essential,D,Q96S96
MYADM,Cancer,O,Q96S97
PLEKHF1,Non-essential,D,Q96S99
SERINC2,Non-essential,D,Q96SA4
PPP1R9B,Non-essential,D,Q96SB3
SRPK1,Non-essential,D,Q96SB4
SMC6,Core,O,Q96SB8
DMRTA2,Non-essential,D,Q96SC8
DCLRE1C,Non-essential,D,Q96SD1
ABHD1,Non-essential,D,Q96SE0
ZNF347,Cancer,O,Q96SE7
CCT8L2,Non-essential,D,Q96SF2
TBX15,Non-essential,D,Q96SF7
KCTD15,Non-essential,D,Q96SI1
STRBP,Non-essential,D,Q96SI9
TSPAN18,Cancer,O,Q96SJ8
TMEM209,Non-essential,D,Q96SK2
ZNF607,Non-essential,D,Q96SK3
SLC49A4,Non-essential,D,Q96SL1
GPX7,Non-essential,D,Q96SL4
FIZ1,Non-essential,D,Q96SL8
CPXM1,Non-essential,D,Q96SM3
ORAI2,Non-essential,D,Q96SN7
CDK5RAP2,Non-essential,D,Q96SN8
ZNF587,Non-essential,D,Q96SQ5
ATOH8,Non-essential,D,Q96SQ7
CYP2S1,Non-essential,D,Q96SQ9
ZNF382,Non-essential,D,Q96SR6
IWS1,Non-essential,D,Q96ST2
SIN3A,Core,D,Q96ST3
CEP89,Non-essential,D,Q96ST8
OSBPL9,Non-essential,D,Q96SU4
CRBN,Non-essential,D,Q96SW2
INTS14,Non-essential,D,Q96SY0
ZSCAN10,Non-essential,D,Q96SZ4
ADO,Non-essential,D,Q96SZ5
CDK5RAP1,Non-essential,D,Q96SZ6
MAP7D2,Non-essential,D,Q96T17
SECISBP2,Non-essential,D,Q96T21
RSF1,Non-essential,D,Q96T23
ZIC5,Non-essential,D,Q96T25
RBM15,Non-essential,D,Q96T37
PPP1R16B,Non-essential,D,Q96T49
RUFY1,Non-essential,D,Q96T51
IMMP2L,Non-essential,D,Q96T52
MBOAT4,Non-essential,D,Q96T53
KCNK17,Non-essential,D,Q96T54
KCNK16,Cancer,O,Q96T55
SPEN,Non-essential,D,Q96T58
CDRT15,Cancer,O,Q96T59
PNKP,Non-essential,D,Q96T60
NMNAT3,Non-essential,D,Q96T66
SETDB2,Non-essential,D,Q96T68
MMS19,Core,D,Q96T76
SLC9A7,Non-essential,D,Q96T83
UHRF1,Non-essential,D,Q96T88
GPHA2,Non-essential,D,Q96T91
INSM2,Non-essential,D,Q96T92
NIBAN2,Non-essential,D,Q96TA1
YME1L1,Non-essential,D,Q96TA2
RMDN3,Non-essential,D,Q96TC7
CSF3R,Non-essential,D,Q99062
HBEGF,Non-essential,D,Q99075
TCF12,Non-essential,D,Q99081
MUC4,Non-essential,D,Q99102
AMELX,Non-essential,D,Q99217
AMELY,Non-essential,D,Q99218
SCN2A,Cancer,O,Q99250
GAD1,Non-essential,D,Q99259
MYCBP,Non-essential,D,Q99417
CYTH2,Non-essential,D,Q99418
ACOX2,Non-essential,D,Q99424
TBCB,Core,B,Q99426
NELL2,Non-essential,D,Q99435
PSMB7,Core,B,Q99436
ATP6V0B,Core,D,Q99437
CNN2,Non-essential,D,Q99439
SEC62,Non-essential,D,Q99442
GML,Non-essential,D,Q99445
PCYT2,Non-essential,D,Q99447
PHOX2B,Non-essential,D,Q99453
KRT12,Non-essential,D,Q99456
NAP1L3,Non-essential,D,Q99457
CDC5L,Core,B,Q99459
PSMD1,Core,D,Q99460
NOTCH4,Cancer,O,Q99466
CD180,Non-essential,D,Q99467
STAC,Non-essential,D,Q99469
SDF2,Non-essential,D,Q99470
PFDN5,Non-essential,D,Q99471
PAFAH2,Non-essential,D,Q99487
DDO,Non-essential,D,Q99489
AGAP2,Non-essential,D,Q99490
RNF2,Non-essential,D,Q99496
PARK7,Non-essential,D,Q99497
S1PR3,Non-essential,D,Q99500
GAS2L1,Non-essential,D,Q99501
EYA1,Non-essential,D,Q99502
EYA3,Non-essential,D,Q99504
FMO2,Cancer,O,Q99518
NEU1,Non-essential,D,Q99519
SORT1,Non-essential,D,Q99523
H4C7,Non-essential,D,Q99525
GPER1,Non-essential,D,Q99527
VAT1,Non-essential,D,Q99536
LGMN,Non-essential,D,Q99538
PLIN2,Non-essential,D,Q99541
MMP19,Non-essential,D,Q99542
DNAJC2,Non-essential,D,Q99543
MPHOSPH6,Non-essential,D,Q99547
MPHOSPH8,Non-essential,D,Q99549
MPHOSPH9,Non-essential,D,Q99550
MTERF1,Non-essential,D,Q99551
MAP3K14,Non-essential,D,Q99558
NUP88,Core,B,Q99567
PKP4,Non-essential,D,Q99569
PIK3R4,Non-essential,D,Q99570
P2RX4,Non-essential,D,Q99571
P2RX7,Non-essential,D,Q99572
SERPINI1,Non-essential,D,Q99574
POP1,Core,D,Q99575
TSC22D3,Non-essential,D,Q99576
RIT2,Cancer,O,Q99578
FEV,Non-essential,D,Q99581
MNT,Non-essential,D,Q99583
S100A13,Non-essential,D,Q99584
SCAF11,Non-essential,D,Q99590
ZBTB18,Non-essential,D,Q99592
TBX5,Non-essential,D,Q99593
TEAD3,Non-essential,D,Q99594
TIMM17A,Non-essential,D,Q99595
TSNAX,Non-essential,D,Q99598
ELF4,Cancer,O,Q99607
NDN,Cancer,O,Q99608
SEPHS2,Non-essential,D,Q99611
KLF6,Cancer,O,Q99612
TTC1,Core,B,Q99614
DNAJC7,Non-essential,D,Q99615
CCL13,Non-essential,D,Q99616
CDCA3,Non-essential,D,Q99618
SPSB2,Non-essential,D,Q99619
C12orf57,Non-essential,D,Q99622
PHB2,Core,B,Q99623
SLC38A3,Non-essential,D,Q99624
CDX2,Non-essential,D,Q99626
COPS8,Core,D,Q99627
PRPF18,Non-essential,D,Q99633
RAD9A,Core,D,Q99638
PKMYT1,Core,B,Q99640
SDHC,Core,D,Q99643
EPYC,Non-essential,D,Q99645
OSMR,Non-essential,D,Q99650
CHP1,Cancer,O,Q99653
KIF2C,Non-essential,D,Q99661
IL12RB2,Non-essential,D,Q99665
RGPD6,Core,O,Q99666
CGREF1,Non-essential,D,Q99674
CGRRF1,Non-essential,D,Q99675
ZNF184,Cancer,O,Q99676
LPAR4,Non-essential,D,Q99677
GPR20,Non-essential,D,Q99678
GPR21,Non-essential,D,Q99679
GPR22,Cancer,O,Q99680
MAP3K5,Non-essential,D,Q99683
GFI1,Non-essential,D,Q99684
MGLL,Non-essential,D,Q99685
MEIS3,Non-essential,D,Q99687
FEZ1,Non-essential,D,Q99689
PITX2,Non-essential,D,Q99697
LYST,Non-essential,D,Q99698
ATXN2,Non-essential,D,Q99700
DOK1,Non-essential,D,Q99704
MCHR1,Non-essential,D,Q99705
KIR2DL4,Non-essential,D,Q99706
MTR,Non-essential,D,Q99707
RBBP8,Core,D,Q99708
KCNJ15,Cancer,O,Q99712
HSD17B10,Non-essential,D,Q99714
COL12A1,Non-essential,D,Q99715
SMAD5,Non-essential,D,Q99717
SEPTIN5,Non-essential,D,Q99719
SIGMAR1,Non-essential,D,Q99720
SLC30A3,Non-essential,D,Q99726
TIMP4,Non-essential,D,Q99727
BARD1,Non-essential,D,Q99728
HNRNPAB,Non-essential,D,Q99729
CCL19,Non-essential,D,Q99731
LITAF,Non-essential,D,Q99732
NAP1L4,Cancer,O,Q99733
MGST2,Non-essential,D,Q99735
CDC6,Core,B,Q99741
NPAS1,Non-essential,D,Q99742
NPAS2,Non-essential,D,Q99743
NAPG,Non-essential,D,Q99747
NRTN,Non-essential,D,Q99748
MDFI,Non-essential,D,Q99750
PIP5K1A,Non-essential,D,Q99755
TXN2,Non-essential,D,Q99757
ABCA3,Non-essential,D,Q99758
MAP3K3,Non-essential,D,Q99759
DMAC2L,Non-essential,D,Q99766
APBA2,Non-essential,D,Q99767
OLFM1,Non-essential,D,Q99784
CMKLR1,Non-essential,D,Q99788
GPA33,Non-essential,D,Q99795
MIPEP,Non-essential,D,Q99797
ACO2,Non-essential,D,Q99798
NKX3-1,Non-essential,D,Q99801
TM9SF2,Non-essential,D,Q99805
COQ7,Non-essential,D,Q99807
SLC29A1,Non-essential,D,Q99808
PRRX2,Non-essential,D,Q99811
EPAS1,Non-essential,D,Q99814
TSG101,Core,B,Q99816
ARHGDIG,Non-essential,D,Q99819
CIB1,Non-essential,D,Q99828
CPNE1,Non-essential,D,Q99829
CCT7,Core,B,Q99832
SMO,Non-essential,D,Q99835
MYD88,Non-essential,D,Q99836
EBNA1BP2,Core,D,Q99848
FOXB1,Non-essential,D,Q99853
ARID3A,Non-essential,D,Q99856
HAUS7,Core,B,Q99871
PRMT1,Core,D,Q99873
H2BC15,Core,D,Q99877
H2BC14,Non-essential,D,Q99879
H2BC13,Core,D,Q99880
SLC6A7,Non-essential,D,Q99884
CTRC,Non-essential,D,Q99895
SSX3,Non-essential,D,Q99909
GABRG3,Non-essential,D,Q99928
ASCL2,Non-essential,D,Q99929
SPAG8,Cancer,O,Q99932
BAG1,Non-essential,D,Q99933
OPRPN,Non-essential,D,Q99935
ATF6B,Cancer,O,Q99941
RNF5,Non-essential,D,Q99942
AGPAT1,Non-essential,D,Q99943
EGFL8,Non-essential,D,Q99944
PRRT1,Non-essential,D,Q99946
PTPN18,Non-essential,D,Q99952
SMR3A,Non-essential,D,Q99954
DUSP9,Cancer,O,Q99956
FOXC2,Cancer,O,Q99958
PKP2,Cancer,O,Q99959
SH3GL1,Non-essential,D,Q99961
SH3GL2,Non-essential,D,Q99962
SH3GL3,Non-essential,D,Q99963
ADAM2,Cancer,O,Q99965
CITED1,Non-essential,D,Q99966
CITED2,Cancer,O,Q99967
RARRES2,Non-essential,D,Q99969
MYOC,Non-essential,D,Q99972
TEP1,Non-essential,D,Q99973
OMD,Non-essential,D,Q99983
SEMA3C,Non-essential,D,Q99985
VRK1,Non-essential,D,Q99986
GDF15,Non-essential,D,Q99988
VGLL1,Non-essential,D,Q99990
AKAP9,Cancer,O,Q99996
GAL3ST1,Non-essential,D,Q99999
DPYSL5,Non-essential,D,Q9BPU6
B9D2,Non-essential,D,Q9BPU9
P2RY13,Cancer,O,Q9BPV8
APOL4,Non-essential,D,Q9BPW4
RASL11B,Non-essential,D,Q9BPW5
NIPSNAP1,Non-essential,D,Q9BPW8
DHRS9,Non-essential,D,Q9BPW9
HSD17B14,Non-essential,D,Q9BPX1
NCAPG,Core,B,Q9BPX3
ARPC5L,Non-essential,D,Q9BPX5
MICU1,Non-essential,D,Q9BPX6
C7orf25,Non-essential,D,Q9BPX7
FAM118B,Non-essential,D,Q9BPY3
HOPX,Non-essential,D,Q9BPY8
PAIP2,Non-essential,D,Q9BPZ3
MAPKAP1,Cancer,O,Q9BPZ7
RBM4B,Non-essential,D,Q9BQ04
RETNLB,Non-essential,D,Q9BQ08
KCTD14,Non-essential,D,Q9BQ13
NABP2,Non-essential,D,Q9BQ15
SPOCK3,Non-essential,D,Q9BQ16
ZFYVE21,Non-essential,D,Q9BQ24
KCNS3,Non-essential,D,Q9BQ31
DDX50,Non-essential,D,Q9BQ39
MRPL34,Core,D,Q9BQ48
SMIM7,Cancer,O,Q9BQ49
TREX2,Non-essential,D,Q9BQ50
PDCD1LG2,Non-essential,D,Q9BQ51
ELAC2,Core,D,Q9BQ52
TRIR,Non-essential,D,Q9BQ61
USB1,Non-essential,D,Q9BQ65
GRWD1,Core,D,Q9BQ67
MACROD1,Non-essential,D,Q9BQ69
TCF25,Non-essential,D,Q9BQ70
CMSS1,Cancer,O,Q9BQ75
TBL1Y,Non-essential,D,Q9BQ87
FAM110A,Non-essential,D,Q9BQ89
KLHDC3,Non-essential,D,Q9BQ90
ECSIT,Non-essential,D,Q9BQ95
WDR77,Core,D,Q9BQA1
HINFP,Core,D,Q9BQA5
CYBC1,Non-essential,D,Q9BQA9
SOST,Non-essential,D,Q9BQB4
VKORC1,Cancer,O,Q9BQB6
DPH2,Cancer,O,Q9BQC3
MRPL57,Core,D,Q9BQC6
KXD1,Cancer,O,Q9BQD3
ANTKMT,Non-essential,D,Q9BQD7
TUBA1C,Core,O,Q9BQE3
SELENOS,Non-essential,D,Q9BQE4
APOL2,Non-essential,D,Q9BQE5
LBHD1,Non-essential,D,Q9BQE6
BCL7B,Non-essential,D,Q9BQE9
SENP7,Non-essential,D,Q9BQF6
MYBBP1A,Non-essential,D,Q9BQG0
SYT3,Non-essential,D,Q9BQG1
NUDT12,Non-essential,D,Q9BQG2
AIF1L,Non-essential,D,Q9BQI0
EIF2AK1,Non-essential,D,Q9BQI3
CCDC3,Non-essential,D,Q9BQI4
SGIP1,Non-essential,D,Q9BQI5
SLF1,Non-essential,D,Q9BQI6
PSD2,Non-essential,D,Q9BQI7
NRIP2,Non-essential,D,Q9BQI9
TMEM47,Non-essential,D,Q9BQJ4
LPIN3,Non-essential,D,Q9BQK8
FERMT1,Non-essential,D,Q9BQL6
C20orf144,Non-essential,D,Q9BQM9
FAM83C,Non-essential,D,Q9BQN1
MGME1,Non-essential,D,Q9BQP7
BPIFA3,Non-essential,D,Q9BQP9
GORASP1,Non-essential,D,Q9BQQ3
RTP3,Non-essential,D,Q9BQQ7
PRSS27,Non-essential,D,Q9BQR3
HSPB9,Non-essential,D,Q9BQS6
HEPH,Non-essential,D,Q9BQS7
FYCO1,Non-essential,D,Q9BQS8
SLC25A21,Non-essential,D,Q9BQT8
CLSTN3,Non-essential,D,Q9BQT9
EBF4,Non-essential,D,Q9BQW3
RHOXF2,Non-essential,D,Q9BQY4
WFDC6,Non-essential,D,Q9BQY6
DBNDD2,Cancer,O,Q9BQY9
SULT4A1,Non-essential,D,Q9BR01
NEURL2,Non-essential,D,Q9BR09
SPATA25,Non-essential,D,Q9BR10
ZSWIM1,Cancer,O,Q9BR11
OCSTAMP,Cancer,O,Q9BR26
JPH2,Non-essential,D,Q9BR39
ACBD6,Non-essential,D,Q9BR61
CORO1B,Non-essential,D,Q9BR76
CCDC77,Non-essential,D,Q9BR77
ZNF559,Non-essential,D,Q9BR84
NAA38,Core,O,Q9BRA0
TXNDC17,Non-essential,D,Q9BRA2
PIGQ,Non-essential,D,Q9BRB3
PLCD4,Non-essential,D,Q9BRC7
BUD13,Non-essential,D,Q9BRD0
CPPED1,Non-essential,D,Q9BRF8
VPS25,Core,B,Q9BRG1
SH2D3A,Non-essential,D,Q9BRG2
ZNF251,Non-essential,D,Q9BRH9
SLC30A2,Cancer,O,Q9BRI3
CHLSN,Non-essential,D,Q9BRJ6
NUDT16L1,Non-essential,D,Q9BRJ7
MESP1,Non-essential,D,Q9BRJ9
REEP2,Non-essential,D,Q9BRK0
MXRA8,Non-essential,D,Q9BRK3
LZTS2,Non-essential,D,Q9BRK4
SDF4,Non-essential,D,Q9BRK5
SRSF8,Non-essential,D,Q9BRL6
SEC22C,Non-essential,D,Q9BRL7
TM2D3,Non-essential,D,Q9BRN9
OVOL2,Non-essential,D,Q9BRP0
PDCD2L,Non-essential,D,Q9BRP1
PAAF1,Cancer,O,Q9BRP4
FDXACB1,Non-essential,D,Q9BRP7
PYM1,Non-essential,D,Q9BRP8
PYGO2,Non-essential,D,Q9BRQ0
NUDT22,Non-essential,D,Q9BRQ3
CFAP300,Non-essential,D,Q9BRQ4
ORAI3,Non-essential,D,Q9BRQ5
CHCHD6,Non-essential,D,Q9BRQ6
AIFM2,Non-essential,D,Q9BRQ8
ZKSCAN3,Non-essential,D,Q9BRR0
PGAP4,Non-essential,D,Q9BRR3
ADPGK,Non-essential,D,Q9BRR6
GPATCH1,Non-essential,D,Q9BRR8
ARHGAP9,Non-essential,D,Q9BRR9
RIOK1,Core,D,Q9BRS2
LARP6,Non-essential,D,Q9BRS8
UQCC2,Cancer,O,Q9BRT2
MIEN1,Cancer,O,Q9BRT3
LLPH,Non-essential,D,Q9BRT6
ZNG1A,Non-essential,D,Q9BRT8
GINS4,Core,B,Q9BRT9
TCEAL7,Non-essential,D,Q9BRU2
UTP23,Core,D,Q9BRU9
SLC50A1,Non-essential,D,Q9BRV3
SIKE1,Non-essential,D,Q9BRV8
PELO,Core,D,Q9BRX2
GINS3,Core,B,Q9BRX5
PRXL2A,Non-essential,D,Q9BRX8
WDR83,Non-essential,D,Q9BRX9
SLC39A3,Non-essential,D,Q9BRY0
TRIM56,Non-essential,D,Q9BRZ2
CENPK,Core,D,Q9BS16
ANAPC13,Non-essential,D,Q9BS18
ERP44,Non-essential,D,Q9BS26
ZNF649,Non-essential,D,Q9BS31
ZNF670,Cancer,O,Q9BS34
LXN,Non-essential,D,Q9BS40
ZPBP,Non-essential,D,Q9BS86
SLC35A5,Non-essential,D,Q9BS91
NIPSNAP3B,Non-essential,D,Q9BS92
TTYH2,Non-essential,D,Q9BSA4
TMEM175,Non-essential,D,Q9BSA9
ATG101,Non-essential,D,Q9BSB4
NOL10,Core,D,Q9BSC4
RHNO1,Non-essential,D,Q9BSD3
NTPCR,Non-essential,D,Q9BSD7
TMEM79,Non-essential,D,Q9BSE2
HERPUD2,Non-essential,D,Q9BSE4
AGMAT,Non-essential,D,Q9BSE5
TIMM29,Non-essential,D,Q9BSF4
BTBD10,Non-essential,D,Q9BSF8
PRADC1,Non-essential,D,Q9BSG0
ZNF2,Cancer,O,Q9BSG1
RTBDN,Non-essential,D,Q9BSG5
NICN1,Non-essential,D,Q9BSH3
TACO1,Non-essential,D,Q9BSH4
HDHD3,Non-essential,D,Q9BSH5
TINF2,Core,D,Q9BSI4
TUBGCP2,Core,B,Q9BSJ2
MTNAP1,Non-essential,D,Q9BSJ5
PIMREG,Non-essential,D,Q9BSJ6
ESYT1,Non-essential,D,Q9BSJ8
ZNF577,Non-essential,D,Q9BSK1
SLC25A33,Non-essential,D,Q9BSK2
FEM1A,Non-essential,D,Q9BSK4
UBAC1,Cancer,O,Q9BSL1
PCGF1,Non-essential,D,Q9BSM1
TMEM204,Non-essential,D,Q9BSN7
CCM2,Non-essential,D,Q9BSQ5
YIPF4,Cancer,O,Q9BSR8
RTKN,Non-essential,D,Q9BST9
PHAF1,Non-essential,D,Q9BSU1
NAA11,Non-essential,D,Q9BSU3
TSEN34,Non-essential,D,Q9BSV6
CRACR2A,Non-essential,D,Q9BSW2
SYT17,Non-essential,D,Q9BSW7
CHCHD5,Non-essential,D,Q9BSY4
DESI2,Non-essential,D,Q9BSY9
FUZ,Non-essential,D,Q9BT04
CNPY3,Non-essential,D,Q9BT09
MTG1,Non-essential,D,Q9BT17
ALG1,Core,D,Q9BT22
LIMD2,Non-essential,D,Q9BT23
HAUS8,Core,D,Q9BT25
ALKBH7,Non-essential,D,Q9BT30
INPP5K,Non-essential,D,Q9BT40
POLR3GL,Non-essential,D,Q9BT43
THAP7,Non-essential,D,Q9BT49
SPX,Non-essential,D,Q9BT56
NDFIP1,Non-essential,D,Q9BT67
PSMG3,Core,D,Q9BT73
UPK3B,Non-essential,D,Q9BT76
COPS4,Core,D,Q9BT78
SOX7,Cancer,O,Q9BT81
SYT11,Non-essential,D,Q9BT88
TCHP,Non-essential,D,Q9BT92
FAM167B,Non-essential,D,Q9BTA0
WAC,Non-essential,D,Q9BTA9
DIDO1,Non-essential,D,Q9BTC0
MTA3,Non-essential,D,Q9BTC8
TMEM121,Non-essential,D,Q9BTD3
RBM42,Non-essential,D,Q9BTD8
NAT9,Non-essential,D,Q9BTE0
DCTN5,Core,D,Q9BTE1
MCMBP,Non-essential,D,Q9BTE3
